687 512 452 239 945 444 782 192 485 814 | 555 104 112 870 761 38 109 593 597 240 | 778 908 562 942 776 689 420 891 295 609 | 573 501 591 290 71 169 563 881 592 199 | 757 655 955 378 332 619 560 140 950 798 | 408 479 852 936 912 963 842 288 520 736 | 68 721 263 287 491 272 341 99 694 147 | 982 2 464 316 971 626 255 575 620 189 | 274 677 405 149 795 666 67 216 586 396 | 981 434 388 280 525 30 197 254 875 73 
543 550 431 273 318 962 466 16 706 438 | 232 792 515 117 581 797 939 331 283 165 | 195 571 503 397 514 986 961 85 830 890 | 784 249 497 608 781 453 604 229 771 774 | 74 541 914 646 462 923 252 116 6 386 | 900 267 36 380 204 819 988 433 611 837 | 763 26 839 308 381 509 251 561 725 305 | 898 992 128 488 686 364 892 938 996 857 | 911 454 700 265 372 909 176 943 124 553 | 385 170 835 114 166 583 859 794 605 496 
558 967 975 82 905 315 974 913 418 59 | 841 667 663 1 91 750 886 47 113 400 | 494 765 775 390 258 947 87 810 110 843 | 524 754 551 469 393 348 43 365 594 310 | 821 22 490 143 800 97 383 566 370 861 | 616 702 588 480 972 41 744 84 789 872 | 442 787 162 220 866 513 45 297 223 873 | 669 746 678 35 133 877 871 958 246 292 | 64 250 70 157 539 275 146 684 163 248 | 352 805 519 580 237 504 692 131 96 987 
224 299 92 769 664 876 711 993 387 432 | 77 756 747 293 577 226 718 649 523 929 | 455 578 755 14 920 136 770 57 648 690 | 635 773 680 731 465 940 851 979 493 567 | 281 222 991 697 460 764 948 760 546 182 | 177 828 243 637 803 833 704 172 129 502 | 532 674 931 661 467 33 161 55 279 884 | 826 111 933 187 350 309 144 207 527 629 | 426 951 155 695 298 570 712 126 441 105 | 538 636 473 676 323 203 125 425 221 313 
414 879 340 66 342 398 326 822 596 809 | 130 701 407 895 51 654 516 717 158 658 | 589 101 28 817 89 997 707 569 720 893 | 34 145 927 827 200 921 48 456 978 60 | 282 446 122 142 351 999 954 733 451 184 | 54 966 613 483 103 802 53 719 952 858 | 862 547 662 486 934 753 100 86 598 347 | 285 343 630 922 545 716 379 818 10 328 | 808 354 863 196 450 505 554 612 508 535 | 742 745 278 137 238 653 412 212 495 806 
338 699 359 304 93 925 834 392 302 623 | 672 205 846 219 556 132 791 448 475 793 | 474 367 276 266 965 382 5 807 210 595 | 402 633 211 848 363 811 153 322 19 549 | 185 261 907 959 345 440 17 471 194 439 | 39 708 783 225 614 850 201 518 582 259 | 178 526 213 42 242 119 269 449 557 641 | 590 853 820 435 62 428 106 737 459 107 | 80 759 640 796 624 941 227 244 618 472 | 956 320 69 37 585 727 969 233 928 917 
799 610 253 728 76 401 138 831 3 436 | 245 11 696 944 937 121 218 49 264 324 | 739 659 234 115 314 206 977 421 327 889 | 470 856 330 880 23 766 691 606 374 970 | 903 607 579 56 468 916 899 638 156 44 | 832 651 214 506 357 18 52 762 878 306 | 179 88 284 894 335 529 726 394 601 617 | 360 375 621 151 838 548 603 615 489 353 | 734 767 78 152 671 457 83 844 256 910 | 888 0 154 643 75 847 24 622 642 422 
230 102 423 141 384 58 574 325 160 990 | 599 289 181 32 869 647 202 411 785 482 | 355 437 751 964 321 855 333 286 528 368 | 860 277 303 377 270 749 337 758 50 164 | 235 983 478 705 743 294 926 542 257 300 | 409 768 399 311 748 241 366 373 537 262 | 864 150 973 896 271 487 627 953 729 752 | 740 693 600 477 772 957 544 9 790 135 | 949 632 946 788 656 312 845 533 296 180 | 534 904 564 8 710 317 134 823 413 72 
682 887 657 815 371 644 190 349 813 825 | 20 148 127 424 673 15 584 777 291 476 | 61 118 417 171 344 63 918 634 31 159 | 829 500 568 21 193 511 919 968 897 461 | 198 186 167 499 906 932 625 334 576 188 | 552 498 40 804 13 660 108 980 995 849 | 631 976 786 713 536 215 572 90 530 404 | 447 882 984 683 507 602 587 868 458 531 | 410 209 824 723 329 430 709 724 901 517 | 358 247 668 960 168 915 722 840 191 681 
391 565 12 307 429 854 445 675 628 639 | 867 419 231 174 836 801 703 645 492 816 | 415 650 98 930 175 481 698 173 369 95 | 208 735 395 4 94 715 652 521 779 484 | 268 346 883 812 780 730 510 79 139 985 | 362 714 25 183 902 29 874 998 403 679 | 27 559 46 924 361 885 935 7 356 120 | 236 389 443 688 228 540 463 522 65 376 | 670 339 427 732 989 123 865 319 260 685 | 665 336 217 416 994 81 406 741 738 301 
